date,death,deathConfirmed,deathIncrease,deathProbable,hospitalizedCurrently,inIcuCurrently,negative,negativeIncrease,onVentilatorCurrently,positive,positiveIncrease,recovered,totalTestResults,totalTestResultsIncrease
3/1/2020,,0,0,0,,,,0,,14,0,,14,0
3/2/2020,,,0,0,,,,0,,27,13,,27,13
3/3/2020,,,0,0,,,,0,,50,23,,50,23
3/4/2020,,0,0,0,,,,0,,74,24,,74,24
3/5/2020,,0,0,0,,,8,8,,100,26,,108,34
3/6/2020,,0,0,0,,,8,0,,140,40,,148,40
3/7/2020,,0,0,0,,,18,10,,188,48,,206,58
3/8/2020,,0,0,0,,,26,8,,251,63,,277,71
3/9/2020,,0,0,0,,,36,10,,372,121,,408,131
3/10/2020,,0,0,0,,,39,3,,528,156,,567,159
3/11/2020,,0,0,0,,,57,18,,727,199,,784,217
3/12/2020,,0,0,1,,,91,34,,997,270,,1088,304
3/13/2020,,0,0,1,,,133,42,,1361,364,,1494,406
3/14/2020,,0,0,1,,,205,72,,1728,367,,1933,439
3/15/2020,,0,0,1,,,205,0,,2188,460,,2393,460
3/16/2020,,1,0,1,,,272,67,,2895,707,,3167,774
3/17/2020,2,4,2,1,,,879,607,,3659,764,,4538,1371
3/18/2020,5,9,3,1,,,1478,599,,4531,872,,6009,1471
3/19/2020,10,11,5,1,,,2051,573,,5276,745,,7327,1318
3/20/2020,13,20,3,2,,,3041,990,,6219,943,,9260,1933
3/21/2020,23,33,10,3,,,4086,1045,,7023,804,,11109,1849
3/22/2020,36,54,13,3,,,4791,705,,7822,799,,12613,1504
3/23/2020,57,79,21,3,,,5847,1056,,9062,1240,,14909,2296
3/24/2020,86,103,29,7,,,6989,1142,,10155,1093,,17144,2235
3/25/2020,111,149,25,8,,,8842,1853,,11335,1180,,20177,3033
3/26/2020,159,197,48,10,,,11730,2888,,12475,1140,,24205,4028
3/27/2020,212,264,53,15,,,14140,2410,,13799,1324,,27939,3734
3/28/2020,283,326,71,19,,,15902,1762,,14865,1066,,30767,2828
3/29/2020,351,408,68,25,,,17417,1515,,15784,919,,33201,2434
3/30/2020,437,518,86,29,,,23263,5846,,17363,1579,,40626,7425
3/31/2020,551,641,114,33,,,26334,3071,,18654,1291,,44988,4362
4/1/2020,676,765,125,35,,,29951,3617,,20246,1592,,50197,5209
4/2/2020,801,879,125,36,,,33443,3492,,21376,1130,,54819,4622
4/3/2020,918,985,117,39,,,37060,3617,,22579,1203,56,59639,4820
4/4/2020,1030,1092,112,45,,,41205,4145,,23581,1002,56,64786,5147
4/5/2020,1150,1225,120,58,,,44154,2949,,24458,877,56,68612,3826
4/6/2020,1291,1377,141,66,,,47262,3108,,25785,1327,56,73047,4435
4/7/2020,1449,1522,158,72,,,50344,3082,,26964,1179,56,77308,4261
4/8/2020,1600,1668,151,78,,,53176,2832,,28064,1100,56,81240,3932
4/9/2020,1756,1822,156,88,3826,1628,56430,3254,1434,29096,1032,56,85526,4286
4/10/2020,1917,1978,161,95,3823,1663,59597,3167,1394,30172,1076,56,89769,4243
4/11/2020,2081,2136,164,103,3636,1582,62241,2644,1441,30980,808,595,93221,3452
4/12/2020,2249,2269,168,113,3636,1582,64555,2314,1441,31666,686,433,96221,3000
4/13/2020,2391,2401,142,122,3986,1570,67063,2508,1365,32702,1036,447,99765,3544
4/14/2020,2532,2537,141,131,3910,1497,70675,3612,1235,33613,911,452,104288,4523
4/15/2020,2672,2701,140,135,3918,1468,73828,3153,1212,34533,920,452,108361,4073
4/16/2020,2841,2836,169,140,3809,1447,78274,4446,1211,35455,922,617,113729,5368
4/17/2020,2984,2955,143,148,3674,1428,83268,4994,1167,36320,865,629,119588,5859
4/18/2020,3107,3076,123,152,3634,1423,87114,3846,1203,37029,709,3237,124143,4555
4/19/2020,3236,3178,129,160,3403,1344,89758,2644,1115,37557,528,3237,127315,3172
4/20/2020,3347,3300,111,169,3374,1346,93393,3635,1102,38494,937,3237,131887,4572
4/21/2020,3471,3428,124,171,3357,1346,99667,6274,1107,39589,1095,3237,139256,7369
4/22/2020,3602,3531,131,174,3305,1350,106653,6986,1065,40705,1116,3237,147358,8102
4/23/2020,3711,3636,109,180,3611,1148,115005,8352,1027,41694,989,3237,156699,9341
4/24/2020,3818,3745,107,182,3022,1176,123054,8049,965,42730,1036,3237,165784,9085
4/25/2020,3929,3846,111,184,2889,1164,128955,5901,934,43263,533,8342,172218,6434
4/26/2020,4036,3957,107,190,2757,1099,134431,5476,871,43789,526,8342,178220,6002
4/27/2020,4148,4049,112,191,2667,1059,140972,6541,832,44709,920,8342,185681,7461
4/28/2020,4247,4136,99,198,2623,1027,148910,7938,801,45538,829,8342,194448,8767
4/29/2020,4335,4232,88,199,2498,997,158373,9463,778,46488,950,8342,204861,10413
4/30/2020,4434,4317,99,202,2319,966,168944,10571,760,47505,1017,8342,216449,11588
5/1/2020,4520,4376,86,203,2319,966,178807,9863,760,48240,735,8342,227047,10598
5/2/2020,4579,4436,59,203,2100,850,188713,9906,713,48672,432,15659,237385,10338
5/3/2020,4641,4516,62,205,2100,850,195361,6648,713,49029,357,15659,244390,7005
5/4/2020,4722,4573,81,206,1948,839,202671,7310,670,49809,780,15659,252480,8090
5/5/2020,4781,4630,59,208,1948,839,213091,10420,670,50497,688,15659,263588,11108
