date,death,deathIncrease,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,recovered,states,totalTestResults,totalTestResultsIncrease
3/1/2020,8,3,,,0,,,85,61,,,50,32,,9,6660,108
3/2/2020,11,3,,,0,,,243,158,,,94,44,,9,6872,212
3/3/2020,14,3,,,0,,,446,203,,,144,50,,11,7163,291
3/4/2020,16,2,,,4,,4,1417,971,,,282,138,,22,8246,1083
3/5/2020,20,4,,,1,,5,1949,532,,,386,104,,28,8907,661
3/6/2020,26,6,,,1,,6,2672,723,,,499,113,,38,9787,880
3/7/2020,27,1,,,0,,6,3348,676,,,672,173,,51,10751,964
3/8/2020,31,4,,,0,,6,4075,727,,,871,199,,51,11752,1001
3/9/2020,35,4,,,2,,8,5616,1541,,,1163,292,,51,13658,1906
3/10/2020,37,2,,,0,,8,7811,2195,,,1554,391,,51,16421,2763
3/11/2020,43,6,,,3,,11,11258,3447,,,2056,502,,51,20523,4102
3/12/2020,51,8,,,5,,16,15933,4675,,,2729,673,,51,26416,5893
3/13/2020,55,4,,,6,,22,24340,8407,,,3788,1059,,51,37522,11106
3/14/2020,64,9,,,4,,26,28358,4018,,,4705,917,,51,44499,6977
3/15/2020,79,15,,,10,,36,35187,6829,,,5997,1292,,51,54439,9940
3/16/2020,100,21,,,6,,42,52038,16851,,,7751,1754,,56,76130,21691
3/17/2020,123,23,,,13,325,55,66425,14387,,,10321,2570,,56,97667,21537
3/18/2020,155,32,,,12,416,67,89019,22594,,,13344,3023,,56,128151,30484
3/19/2020,203,48,,,18,617,85,111589,22570,,,18018,4674,,56,160681,32530
3/20/2020,272,69,,,23,1042,108,142371,30782,,,24111,6093,,56,204519,43838
3/21/2020,334,62,,,1912,1436,2020,181200,38829,,,30908,6797,,56,253029,48510
3/22/2020,480,146,,,1003,2155,3023,217154,35954,,,40064,9156,,56,302514,49485
3/23/2020,581,101,,,914,2770,3937,263842,46688,,,51460,11396,,56,361280,58766
3/24/2020,815,234,,,1180,3902,5117,322536,58694,,,62164,10704,,56,432406,71126
3/25/2020,1050,235,74,,1904,5062,7021,394509,71973,,167,75085,12921,146,56,521577,89171
3/26/2020,1369,319,91,1299,2499,7757,9520,479664,85155,,258,92629,17544,97,56,629368,107791
3/27/2020,1775,406,124,1792,2563,10932,12083,564571,84907,,324,111882,19253,2418,56,738852,109484
3/28/2020,2319,544,140,2174,2425,12382,14508,654296,89725,,390,131468,19586,3143,56,831380,92528
3/29/2020,2834,515,156,2456,2775,14026,17283,720909,66613,,439,151038,19570,4052,56,916812,85432
3/30/2020,3423,589,187,3087,2536,15772,19819,816986,96077,,451,172729,21691,4560,56,1031900,115088
3/31/2020,4313,890,230,3487,3906,18082,23725,904408,87422,,507,197569,24840,5666,56,1147356,115456
4/1/2020,5324,1011,256,3937,4228,20775,27953,987563,83155,32,561,223647,26078,7084,56,1259427,112071
4/2/2020,6496,1172,305,4513,4175,22956,32128,1080823,93260,32,574,251684,28037,8586,56,1382315,122888
4/3/2020,7782,1286,335,4928,4554,25729,36682,1181510,100687,39,605,283453,31769,10861,56,1517249,134934
4/4/2020,9264,1482,403,5500,5086,30266,41768,1376242,194732,39,656,316420,32967,12816,56,1745100,227851
